model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_ffan,fan,,dev,,,,,0,,,,
bert,132,16,1e-05,,fan,,test,,0.37178617055253915,0.023455701782003652,0.6213511259382819,0.04520493917053488,454.0,31017.0,17880.0,745.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f1,1,,dev,,,,,0,,,,
bert,132,16,1e-05,,1,,test,,0.888535419030637,0.05509058162940989,0.19976949673453706,0.08636439129712671,2083.0,8919.0,87182.0,520.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f2,2,,dev,,,,,0,,,,
bert,132,16,1e-05,,2,,test,,0.20741421568627452,0.029038245494065355,0.7768703038222803,0.055983896978329194,683.0,79514.0,18609.0,2378.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f3,3,,dev,,,,,0,,,,
bert,132,16,1e-05,,3,,test,,0.49890029325513197,0.01956999404480769,0.3936389921520033,0.037286278805900075,1468.0,47744.0,48043.0,953.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f4,4,,dev,,,,,0,,,,
bert,132,16,1e-05,,4,,test,,0.6746585294972391,0.015510642583764184,0.1859903381642512,0.028633405639913227,2022.0,29324.0,64540.0,462.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f5,5,,dev,,,,,0,,,,
bert,132,16,1e-05,,5,,test,,0.22407480704531962,0.02389531101436221,0.8293530178028659,0.04645224053018787,393.0,78022.0,20735.0,1910.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f6,6,,dev,,,,,0,,,,
bert,132,16,1e-05,,6,,test,,0.1513639859149229,0.019668591278223724,0.834245893479343,0.03843111177354078,333.0,83536.0,13283.0,1676.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f7,7,,dev,,,,,0,,,,
bert,132,16,1e-05,,7,,test,,0.7900775826868109,0.01987504039642357,0.13486842105263158,0.034644634306637875,2367.0,18197.0,77027.0,369.0
bert,132,16,1e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr1e-05_f8,8,,dev,,,,,0,,,,
bert,132,16,1e-05,,8,,test,,0.5001621008267142,0.024215573223280936,0.5206611570247934,0.046278755074424895,1102.0,48234.0,48171.0,1197.0
